TheTime,O3,NO,NO2,NOx,T,RH,P,Lite,O3CellP,O3CellT,O3Flow,NOxReacT,NOxConvT,NOxFlow
830,33.55,0.3763648,1.206871,1.629409,34.5265,15.84733,1016.65,2.290247,976.2,35.6,1784.333,49.98505,337.5774,1
831,32.63333,0.4734799,1.403026,1.873736,35.28433,15.867,1016.609,2.288242,976.15,35.63333,1784.167,50.00387,337.5774,1
832,31.13333,0.4900877,1.535397,2.326918,35.87237,15.52339,1016.574,2.284947,976.1333,35.7,1785.667,50.00074,337.737,1
833,33.36667,0.488239,2.225783,2.399164,34.93917,15.1515,1016.541,2.28792,976.0833,35.7,1788.333,49.96821,337.6971,1
834,32.86667,0.3445422,1.215764,1.499478,34.93967,15.674,1016.498,2.289682,976.05,35.76667,1783.833,49.99685,337.737,1
835,33.7,0.2854176,0.9783699,1.298228,35.72542,15.36407,1016.509,2.289186,976.0167,35.8,1787.5,49.97451,337.8966,1
836,32.2,0.3380498,1.165178,1.498144,35.63017,15.14233,1016.514,2.291068,976.0167,35.8,1788,50.01416,337.8168,1
837,32.45,0.3325091,1.160461,1.499221,35.4675,15.5435,1016.525,2.2949,976.0333,35.86667,1787.833,49.97958,337.8966,1
838,32.73333,0.2952912,1.079895,1.366617,34.65508,15.80864,1016.54,2.297558,976.0167,35.9,1790.167,49.98319,337.9565,1
839,32.33333,0.3725436,1.066178,1.497017,33.948,16.48117,1016.556,2.299718,976.0333,35.9,1787.667,49.98555,337.9166,1
840,32.55,0.3929543,1.312801,1.577824,34.636,15.65367,1016.548,2.299228,976.0833,35.93333,1786.833,49.99883,338.0961,1
841,34.35,0.2325939,0.9419598,1.217586,35.04831,16.01898,1016.546,2.299883,976.1167,36,1787.5,49.99344,338.0163,1
842,33.2,0.2868204,1.071555,1.361105,36.362,15.31867,1016.556,2.297677,976.05,36,1788.833,49.99037,338.0562,1
843,32.76667,0.2883414,0.9331917,1.244324,36.406,14.34333,1016.54,2.299473,976.05,36,1785.167,49.9768,338.156,1
844,32.43333,0.3083088,1.027877,1.347668,35.88237,14.93102,1016.499,2.303947,976.0167,36,1786.833,49.9916,338.156,1
845,32.66667,0.2777002,1.097395,1.378226,35.96683,14.90383,1016.472,2.314465,975.9833,36.1,1789.833,49.99124,338.136,1
846,33.18333,0.2555136,1.118228,1.350953,36.238,15.16917,1016.457,2.332208,975.95,36.1,1788.333,49.99412,338.1959,1
847,31.65,0.5013542,0.8530935,1.414445,37.2339,15.06237,1016.428,2.335571,975.8667,36.1,1783.833,49.99131,338.2557,1
848,29.21667,4.586142,1.028626,4.297749,37.30417,14.60017,1016.376,2.305027,975.85,36.1,1788.667,50.00869,338.4153,1
849,32.88333,0.35622,0.1717312,1.805059,37.21017,13.95617,1016.333,2.300045,975.8167,36.16667,1788.167,49.99424,338.2557,1
850,33.41667,0.2886249,1.117913,1.373891,36.71373,13.95153,1016.306,2.301544,975.7833,36.2,1790.167,50.0203,338.2557,1
851,34.03333,0.3228226,0.9876526,1.277427,36.16117,14.42667,1016.283,2.301515,975.7833,36.2,1789.5,49.99255,338.4153,1
